file,sct,bs,mbs,RPD,Tk,TK
100_20_01,416603,1792110.0,1857359,3.640903739167797,,171.02026176452637
100_20_02,418362,1810660.0,1871393,3.3541912893640995,,190.49617528915405
100_20_03,416178,1679880.0,1754287,4.429304474129105,,168.64549160003662
100_20_04,411221,1943480.0,2019223,3.8972873402350414,,180.27024602890015
100_20_05,413455,1539090.0,1617768,5.111981755452899,,182.05178833007812
100_20_06,416735,1660530.0,1726352,3.963915135529018,,180.22039985656738
100_20_07,422121,1783580.0,1860562,4.316150663272744,,173.615088224411
100_20_08,425567,1754470.0,1826752,4.119876657908087,,181.76910853385925
100_20_09,423018,1852180.0,1946899,5.113919813409063,,171.57722973823547
100_20_10,409429,1660070.0,1736166,4.583903088423981,,172.97267484664917
100_20_11,416240,1816300.0,1908937,5.100313824808677,,175.45862460136414
100_20_12,409576,1711620.0,1772566,3.560720253327257,,203.19951105117798
100_20_13,414298,1712830.0,1793683,4.720433434724987,,153.950257062912
100_20_14,427080,1709350.0,1784630,4.404013221399947,,191.04614901542664
100_20_15,420275,1449140.0,1514197,4.489352305505334,,126.58422565460205
100_20_16,413365,1847320.0,1937510,4.882207738778338,,113.81933689117432
100_20_17,414496,1777650.0,1858020,4.521137456754706,,108.04904651641846
100_20_18,424329,1824010.0,1913933,4.9299620067872425,,101.09283256530762
100_20_19,411194,1675710.0,1760063,5.033866241772144,,103.45255017280579
100_20_20,415611,1801770.0,1874306,4.025819055706333,,113.00902915000916
100_20_21,417126,1709120.0,1796098,5.089051675716158,,125.52542519569397
100_20_22,423995,1740800.0,1819684,4.5314797794117645,,143.25601506233215
100_20_23,411224,1776600.0,1871173,5.323257908364291,,117.90737986564636
100_20_24,411592,1692610.0,1774115,4.815344349850231,,113.00618076324463
100_20_25,406817,1713800.0,1787880,4.322558058116466,,129.8660385608673
100_20_26,417834,1565920.0,1643537,4.9566389087565135,,149.90442085266113
100_20_27,413379,1862160.0,1957364,5.112557460153799,,132.61687684059143
100_20_28,413706,1732590.0,1829969,5.620429530356288,,136.00603818893433
100_20_29,422042,1992230.0,2096207,5.2191263056976345,,125.61075711250305
100_20_30,404482,1770450.0,1839294,3.8885029229856816,,123.21715521812439
50_20_01,134673,595260.0,615427,3.387931324127272,,12.24527359008789
50_20_02,137336,622342.0,648604,4.219866247175991,,8.785522222518921
50_20_03,134005,592745.0,612297,3.298551653746552,,12.82272982597351
50_20_04,131143,666621.0,691450,3.724605135451778,,12.980309009552002
50_20_05,134596,653748.0,693012,6.005983957121093,,7.749290227890015
50_20_06,142213,643294.0,675078,4.940820215951027,,8.104341268539429
50_20_07,134319,565375.0,586918,3.8103913331859385,,15.565400123596191
50_20_08,137880,532097.0,546227,2.6555308524573533,,11.870210647583008
50_20_09,133031,572797.0,593823,3.670759448809963,,12.51455569267273
50_20_10,133415,600785.0,615683,2.479755653020632,,13.180776119232178
50_20_11,135276,604272.0,620892,2.7504170307411235,,8.01657509803772
50_20_12,132764,584199.0,598879,2.5128423704936163,,12.793843746185303
50_20_13,132025,551945.0,582355,5.509606935473643,,7.619636535644531
50_20_14,133468,572954.0,596438,4.098758364545845,,12.073731422424316
50_20_15,139331,595368.0,617108,3.651523091600489,,10.375272512435913
50_20_16,136833,551243.0,565630,2.6099197631534548,,9.445788383483887
50_20_17,129941,647036.0,662384,2.3720473049413013,,9.925469398498535
50_20_18,138953,630186.0,648023,2.8304341892711036,,11.221014499664307
50_20_19,133399,465508.0,479139,2.9281988709109186,,13.098956823348999
50_20_20,139328,565240.0,584268,3.366357653386172,,8.523259401321411
50_20_21,137135,617905.0,645356,4.442592307879044,,13.501915693283081
50_20_22,136497,642666.0,667728,3.899692842005023,,10.128743410110474
50_20_23,136294,602536.0,618455,2.64199981411899,,9.981322526931763
50_20_24,134632,552363.0,571234,3.416412757552551,,10.440098762512207
50_20_25,132478,587942.0,610840,3.8946018484816527,,11.91416072845459
50_20_26,132909,600296.0,621771,3.577401815104549,,10.975668907165527
50_20_27,134294,563816.0,580360,2.9342906196347744,,11.901194334030151
50_20_28,135740,549809.0,564504,2.6727463537337512,,12.919471263885498
50_20_29,138637,545184.0,570281,4.603399953043376,,7.070138216018677
50_20_30,129974,509210.0,527620,3.615404253647808,,8.379605054855347
